"name","description","category","brand","price","quantity","images","compatibility","type","subcategory","numberoforders","rating","numberofratings"
"Bouncing Car Dashboard Smileys Emoji Emoticon Toy Each - Multi","Bouncing Car Dashboard Smileys Emoji Emoticon Toy Each - Multi ","parts","-",100.0,500,"[""https://sehgalmotors.pk/cdn/shop/files/Bouncing-Car-Dashboard-Smileys-Emoji-Emoticon-Toy-Each-Multi-SehgalMotors-pk-3286.jpg?v=1707868234"", ""https://sehgalmotors.pk/cdn/shop/files/Bouncing-Car-Dashboard-Smileys-Emoji-Emoticon-Toy-Each-Multi-SehgalMotors-pk-301.jpg?v=1707868237"", ""https://sehgalmotors.pk/cdn/shop/files/Bouncing-Car-Dashboard-Smileys-Emoji-Emoticon-Toy-Each-Multi-SehgalMotors-pk-3003.jpg?v=1707868240""]","[""-""]","-","interior",0,0,0
"Blue LED Black Chrome Portable Car Ashtray For Smokers - Each","Blue LED Black Chrome Ashtray - Each ","parts","-",600.0,500,"[""https://sehgalmotors.pk/cdn/shop/files/Blue-LED-Black-Chrome-Portable-Car-Ashtray-For-Smokers-Each-SehgalMotors-pk-9682.jpg?v=1707868056"", ""https://sehgalmotors.pk/cdn/shop/files/Blue-LED-Black-Chrome-Portable-Car-Ashtray-For-Smokers-Each-SehgalMotors-pk-9826.jpg?v=1707868058"", ""https://sehgalmotors.pk/cdn/shop/files/Blue-LED-Black-Chrome-Portable-Car-Ashtray-For-Smokers-Each-SehgalMotors-pk-7145.jpg?v=1707868060""]","[""-""]","-","interior",0,0,0
"Multipurpose Cable Wire Clips Holder Grip 1PC - Black","Multipurpose Cable Wire Clips Holder Grip 1PC - Black ; ; ; ; ; ;Cables are irreplaceable in this profoundly innovative day and age. In the normal family unit, you will discover links running between TV sets, DVD players, personal computers, speakers, and video projectors. Whats more, with the expansion of cell phones like tablet PCs, cell phones and PCs, charger links are additionally fundamental in guaranteeing that appropriate battery levels are kept up. Outside of the home, links have endless different applications in business and mechanical settings. In workplaces, they are found winding behind PCs, phones, printer stations, and other electronic gadgets. Their essential job is to empower capacities like correspondence, signal transmission, and instrumentation and control, and are fundamental parts of transmission gadgets, multi-point and single-finished systems, and converters and repeaters. ;;;;;;;;;;; Whats more, in modern locales, links are vital for a wide scope of business sectors: electrical, manufacturing plant computerization, flammable gas creation, steel, refining and petrochemical, mash and paper, and wind, control and sunlight based age. Since they are unquestionable requirements as far as different transmission tasks, links must be kept sort out and off the beaten path to counteract interferences and deterrents. What is more, the most ideal approach to keep various and protracted links altogether, in any space, is to use a link cut. ;;;;;;;;;;; SehgalMotors.PK offers you a variety of Cable Wire Clips Holder that is best for your cables support and that is an essential thing to manage and maintain so that you can fix them efficiently and properly. We have different varieties of Cable holders that you can buy according to the size of your wire. We have the best quality Multipurpose Cable Wire Clips Holder Grip 1PC – Black that you can buy from our outlets and from our online store as well which is SehgalMotors.PK.  ","parts","-",20.0,500,"[""https://sehgalmotors.pk/cdn/shop/files/Multipurpose-Cable-Wire-Clips-Holder-Grip-1PC-Black-SehgalMotors-pk-3368.jpg?v=1707923297"", ""https://sehgalmotors.pk/cdn/shop/files/Multipurpose-Cable-Wire-Clips-Holder-Grip-1PC-Black-SehgalMotors-pk-5712.jpg?v=1707923301"", ""https://sehgalmotors.pk/cdn/shop/files/Multipurpose-Cable-Wire-Clips-Holder-Grip-1PC-Black-SehgalMotors-pk-8569.jpg?v=1707923305"", ""https://sehgalmotors.pk/cdn/shop/files/Multipurpose-Cable-Wire-Clips-Holder-Grip-1PC-Black-SehgalMotors-pk-790.jpg?v=1707923309"", ""https://sehgalmotors.pk/cdn/shop/files/Multipurpose-Cable-Wire-Clips-Holder-Grip-1PC-Black-SehgalMotors-pk-3843.jpg?v=1707923312"", ""https://sehgalmotors.pk/cdn/shop/files/Multipurpose-Cable-Wire-Clips-Holder-Grip-1PC-Black-SehgalMotors-pk-8677.jpg?v=1707923316""]","[""-""]","-","interior",0,0,0
"Universal Hand Brake Black Cover With Mix Thread","Universal Hand Brake Cover Black With Mix Thread ","parts","-",50.0,500,"[""https://sehgalmotors.pk/cdn/shop/files/1700720924021578_610cf9ad-312a-4850-9afb-8078a115ffab.jpg?v=1718105323"", ""https://sehgalmotors.pk/cdn/shop/files/637497940021836296.jpgnewop_c964e7fb-43e3-4b30-84a6-b8eb98465e38.jpg?v=1718105323"", ""https://sehgalmotors.pk/cdn/shop/files/637488354800139549.jpgnewop_50d9113a-824b-4c93-a315-2d8052a7fb82.jpg?v=1718105323""]","[""-""]","-","interior",0,0,0
"PVC Silicone Gear Cover Article-4 - Car Shifter Boot Cover | Cloth Gear Sleeve | Car Gear Shift Collar | Gear Shift Boot Cover |","When it comes to car accessories, the gear shifter boot cover plays a significant role in both functionality and aesthetics. A well-designed cover not only protects your cars gear shift mechanism but also adds a touch of style to the interior. In this article, we will explore the benefits of a PVC silicone gear cover, also known as a cloth gear sleeve or gear shift boot cover. Discover how this simple accessory can transform your driving experience and give your cars interior a fresh look. Superior Protection: The primary purpose of a PVC silicone gear cover is to provide excellent protection to your cars gear shift mechanism. It acts as a barrier against dirt, dust, and spills that could potentially damage the delicate gears. The durable PVC silicone material ensures long-lasting protection and prevents premature wear and tear of your cars gear shift components. Enhanced Comfort: The cloth gear sleeve offers a comfortable grip and enhances your overall driving experience. The soft and smooth texture of the silicone material provides a pleasant feel when shifting gears. It also reduces friction, allowing for smoother gear changes, and minimizes the chances of accidental slips, especially during aggressive driving maneuvers. Style and Customization: A PVC silicone gear cover is a stylish accessory that can add a personalized touch to your cars interior. Available in various colors, patterns, and designs, you can choose a cover that matches your preferences and complements the overall aesthetics of your vehicle. Whether you prefer a sleek and minimalistic design or a vibrant and eye-catching pattern, there is a gear shift boot cover to suit every taste. ","parts","-",150.0,500,"[""https://sehgalmotors.pk/cdn/shop/files/1700721036016976_92f24a04-70dc-4863-b49f-34841dde0399.jpg?v=1716371193"", ""https://sehgalmotors.pk/cdn/shop/files/636904148486737164.jpgnewop_f32a9e8d-830f-4ae4-a3c2-42a1e772f6bc.jpg?v=1716371193""]","[""-""]","-","interior",0,0,0
"Maximus 7D Rexine Car Steering Anti Non Slip Wheel Cover","Universal 7D Steering Cover Black - Mix Thread | Car Steering Wheel Cover | Auto Steering Wheel Cover | Anti Slip Wheel Cover | Non Slip Wheel Cover ;     ","parts","-",100.0,500,"[""https://sehgalmotors.pk/cdn/shop/files/1700055872021617.jpg?v=1714996747"", ""https://sehgalmotors.pk/cdn/shop/files/637497935555881157.jpgnewop.jpg?v=1714996747"", ""https://sehgalmotors.pk/cdn/shop/files/637497935808228792.jpgnewop.jpg?v=1714996747"", ""https://sehgalmotors.pk/cdn/shop/files/637497940600606761.jpgnewop.jpg?v=1714996747"", ""https://sehgalmotors.pk/cdn/shop/files/637524476767678821.jpgnewop.jpg?v=1714996747""]","[""-""]","-","interior",0,0,0
"Maximus Japanese Rexine Car Steering Anti Non Slip Wheel Cover","Maximus Japanese Rexine Car Steering Anti Non Slip Wheel Cover ","parts","-",300.0,500,"[""https://sehgalmotors.pk/cdn/shop/files/Maximus-Japanese-Rexine-Car-Steering-Anti-Non-Slip-Wheel-Cover-SehgalMotors-pk-5389.jpg?v=1707914664"", ""https://sehgalmotors.pk/cdn/shop/files/Maximus-Japanese-Rexine-Car-Steering-Anti-Non-Slip-Wheel-Cover-SehgalMotors-pk-5968.gif?v=1707914667"", ""https://sehgalmotors.pk/cdn/shop/files/Maximus-Japanese-Rexine-Car-Steering-Anti-Non-Slip-Wheel-Cover-SehgalMotors-pk-8484.gif?v=1707914671""]","[""-""]","-","interior",0,0,0
"Multifunction Plastic Air Outlet Clip Car Cup Holder - Multi","Welcome to the world of convenience and organization! Introducing the Multifunction Plastic Air Outlet Clip Car Cup Holder - Multi, a must-have accessory for any car enthusiast. With its innovative design and practical functionality, this versatile cup holder is here to elevate your driving experience. Say goodbye to spills and fumbling for your essentials, and embrace a clutter-free and enjoyable journey. Secure and Stable Hold: With its sturdy plastic construction and reliable clip mechanism, this car cup holder ensures a secure and stable hold. It can be easily attached to your cars air outlet vents, providing a convenient and accessible location for your beverages and small items. Say goodbye to worrying about your drinks tipping over or items rolling around during sharp turns. Multifunctional Design: The Multifunction Plastic Air Outlet Clip Car Cup Holder - Multi is not just limited to holding cups. Its innovative design allows it to accommodate a variety of items. Whether you need to store your water bottle, smartphone, keys, or other small essentials, this holder has got you covered. Keep everything within reach and neatly organized, reducing distractions and improving your overall driving experience. 360-Degree Rotatable: This cup holder features a 360-degree rotatable base, providing you with flexible positioning options. Adjust it to your preferred angle for easy access and optimal convenience. Whether youre the driver or a passenger, you can effortlessly rotate the holder to your desired orientation, ensuring a comfortable and hassle-free experience. Space-Saving Solution: In todays fast-paced world, maximizing space is crucial. The Multifunction Plastic Air Outlet Clip Car Cup Holder - Multi offers a space-saving solution by utilizing the often-underutilized air vents in your car. No need for additional bulky accessories that take up valuable space. This cup holder allows you to make the most of your cars interior without compromising functionality or style. ","parts","-",250.0,500,"[""https://sehgalmotors.pk/cdn/shop/products/636789134409468730.jpgnewop.jpg?v=1709811990"", ""https://sehgalmotors.pk/cdn/shop/products/636789134410249981.jpgnewop.jpg?v=1709811991"", ""https://sehgalmotors.pk/cdn/shop/products/637704245499217291.jpgnewop.jpg?v=1709811991"", ""https://sehgalmotors.pk/cdn/shop/products/637704245502029803.jpgnewop.jpg?v=1709811991""]","[""-""]","-","interior",0,0,0
"Mini Bouncing Car Dashboard Smiley Emoji Emoticon Toy Mix Design- Pack of 6","Mix Design Emoticons Will Be Send ","parts","-",120.0,500,"[""https://sehgalmotors.pk/cdn/shop/files/1700916911018552.jpg?v=1716546898"", ""https://sehgalmotors.pk/cdn/shop/files/637074510415364467.jpgnewop.jpg?v=1716546898"", ""https://sehgalmotors.pk/cdn/shop/files/637080510451759495.jpgnewop.jpg?v=1716546898""]","[""-""]","-","interior",0,0,0
"Cobra Gear Shift Knob For Auto Transmission Chrome LED - Multi Color","Cobra Gear Shift Knob For Auto Chrome - Multi Color ; ","parts","-",1000.0,500,"[""https://sehgalmotors.pk/cdn/shop/products/637298203355793793.jpgnewop.jpg?v=1707914438"", ""https://sehgalmotors.pk/cdn/shop/products/637298203360648838.jpgnewop.jpg?v=1707914439"", ""https://sehgalmotors.pk/cdn/shop/products/637298203363461553.jpgnewop.jpg?v=1707914439""]","[""-""]","-","interior",0,0,0
"Car Window Glass Holder Universal Drink Holder","Car Window Glass Holder Universal Drink Holder Sometimes it happens that while driving you need to drink something like coffee or any cold drink and you buy it during your trip. But while driving you cannot keep a glass of drink or a cup of coffee in your hand as you have to control the steering with both of your hands and gear as well with another hand. Therefore you definitely need something to put your glass or Cup there so the best solution is here from SehgalMotors.PK which is Window Glass/Cup Holder for Cars. You can fit it at your Car’s window so that you can hang you Cup or Glass in it its quite safe and secure and had a very strong grip for your glass. This product provides you with the Cup Holders facility as well in which you can keep your cups and glasses during driving This product Cup Drink Holder for Cars is a very useful product for cars as they provide a place to keep the glass and cup in your car properly and fills the gaps between the seats as it is more secure as well. The best Cup drink holders are available only at SehgalMotors.PK. Every design and color of your car according to your model and choice is available at our outlets and online stores which you can buy at any time and can visit our outlets as we provide its fittings as well if you want our services with our products as well. This Seat Gap Filler with Cup Drink Holder is the best for your car in Pakistan high-quality Seat Gap Fillers are only available at SehgalMotors.PK. You can easily buy if from our outlets and from our online stores which is SehgalMotors.PK.  ","parts","-",200.0,500,"[""https://sehgalmotors.pk/cdn/shop/files/Car-Window-Glass-Holder-Universal-Drink-Holder-SehgalMotors-pk-6744.jpg?v=1707871913"", ""https://sehgalmotors.pk/cdn/shop/files/Car-Window-Glass-Holder-Universal-Drink-Holder-SehgalMotors-pk-4523.jpg?v=1707871917"", ""https://sehgalmotors.pk/cdn/shop/files/Car-Window-Glass-Holder-Universal-Drink-Holder-SehgalMotors-pk-2357.jpg?v=1707871920""]","[""-""]","-","interior",0,0,0
"Universal Hand Brake Cover Brown With Mix Thread","Universal Hand Brake Cover Brown With Mix Thread ","parts","-",50.0,500,"[""https://sehgalmotors.pk/cdn/shop/files/Universal-Hand-Brake-Cover-Brown-With-Mix-Thread-SehgalMotors-pk-6932.jpg?v=1707967320"", ""https://sehgalmotors.pk/cdn/shop/files/Universal-Hand-Brake-Cover-Brown-With-Mix-Thread-SehgalMotors-pk-2819.jpg?v=1707967323""]","[""-""]","-","interior",0,0,0
"Bouncing Car Dashboard Smileys Emoji Emoticon Toy Each - Multi","Bouncing Car Dashboard Smileys Emoji Emoticon Toy Each - Multi ","parts","-",100.0,500,"[""https://sehgalmotors.pk/cdn/shop/files/Bouncing-Car-Dashboard-Smileys-Emoji-Emoticon-Toy-Each-Multi-SehgalMotors-pk-3286.jpg?v=1707868234"", ""https://sehgalmotors.pk/cdn/shop/files/Bouncing-Car-Dashboard-Smileys-Emoji-Emoticon-Toy-Each-Multi-SehgalMotors-pk-301.jpg?v=1707868237"", ""https://sehgalmotors.pk/cdn/shop/files/Bouncing-Car-Dashboard-Smileys-Emoji-Emoticon-Toy-Each-Multi-SehgalMotors-pk-3003.jpg?v=1707868240""]","[""-""]","-","interior",0,0,0
"Blue LED Black Chrome Portable Car Ashtray For Smokers - Each","Blue LED Black Chrome Ashtray - Each ","parts","-",600.0,500,"[""https://sehgalmotors.pk/cdn/shop/files/Blue-LED-Black-Chrome-Portable-Car-Ashtray-For-Smokers-Each-SehgalMotors-pk-9682.jpg?v=1707868056"", ""https://sehgalmotors.pk/cdn/shop/files/Blue-LED-Black-Chrome-Portable-Car-Ashtray-For-Smokers-Each-SehgalMotors-pk-9826.jpg?v=1707868058"", ""https://sehgalmotors.pk/cdn/shop/files/Blue-LED-Black-Chrome-Portable-Car-Ashtray-For-Smokers-Each-SehgalMotors-pk-7145.jpg?v=1707868060""]","[""-""]","-","interior",0,0,0
"Universal Paste Smiley Emoji Emoticon Nano Sticky Mat - Each Random","Emoji Non-Stick Mat: Emoticon Mat | Non Slippery | Car Décor | Universal Usage; Introducing the Universal Paste Smiley Emoji Emoticon Nano Sticky Mat! Are you tired of your belongings constantly slipping and sliding off surfaces? Say goodbye to the frustration with our innovative Universal Paste Smiley Emoji Emoticon Nano Sticky Mat. This remarkable product is designed to keep your items secure and organized, making your life easier and more enjoyable. Our Nano Sticky Mat features a charming assortment of smiley emojis and emoticons, adding a touch of fun and personality to your surroundings. Each mat comes with a randomly selected design, making it a delightful surprise every time you order. Whether youre at home, in the office, or on the go, this versatile mat is the perfect companion for keeping your essentials in place. The secret behind the effectiveness of our Universal Paste Smiley Emoji Emoticon Nano Sticky Mat lies in its advanced nano-adhesive technology. The mat adheres securely to any surface, from desks and countertops to car dashboards and even walls. You can place your smartphone, keys, sunglasses, pens, or any other small item on the mat, and it will stay firmly in place, eliminating the risk of accidental drops and damage. ","parts","-",20.0,500,"[""https://sehgalmotors.pk/cdn/shop/files/Universal-Paste-Smiley-Emoji-Emoticon-Nano-Sticky-Mat-Each-Random-SehgalMotors-pk-5966.jpg?v=1707967990""]","[""-""]","-","interior",0,0,0
